id,name,address,lat,lng,operator,charger_type,power_kw,power,price,status,is_operational
500974,[Restricted] OASIS 1 (Residential Condo),"Oasis 1 Residence, Kajang, 43000",3.012626,101.816444,Unknown Network,Type 2 (Tethered Connector) ,22,22 kW,N/A,In Use,True
500468,JomCharge Tesco Kajang,"Jalan Impian Mahkota 1, 43000, Selangor",3.0038830255829083,101.78575732219429,Jom Charge,CCS (Type 2),50,50 kW,"RM 1.60/kWh (DC), RM 1.15/kWh (AC)",In Use,True
500174,[Public] TROPEZ RESIDENCE JOHOR (Public Area),"Tropez Residence, Johor Bahru, 80200",1.481333,103.718666,Unknown Network,Type 2 (Tethered Connector) ,22,22 kW,N/A,In Use,True
500033,[Restricted] THE OOAK RESIDENCE (Residential Condo),"Perbadanan Pengurusan Kiara 163, Kuala Lumpur, 50480",3.166918,101.651588,Unknown Network,Type 2 (Tethered Connector) ,22,22 kW,N/A,In Use,True
499666,[Restricted] THE NORTHSHORE GARDENS (Residential Condo),"The Northshore Gardens, Kuala Lumpur, 52200",3.187639,101.626083,Unknown Network,Type 2 (Tethered Connector) ,11,11 kW,N/A,In Use,True
498110,TNB Electron Charging Station,"Jalan Slim, Behrang Stesen, 35950, Perak",3.770752388380714,101.44991568345779,Go ToU,CCS (Type 2),120,120 kW,RM1.50/kWh,In Use,True
498095,[Public] PREMIUM LAUNDRYMART (Public Area),"PREMIUM LAUNDRYMART (自助 洗衣), Johor Bahru, 80250",1.479146,103.763779,Unknown Network,Type 2 (Tethered Connector) ,22,22 kW,N/A,In Use,True
497573,chargeEV | TF Value-Mart Gemas,"33, Jalan DS 2/2,, Gemas, 73400, Negeri Sembilan",2.5864782970035662,102.57496456588626,chargeEV (MY),CCS (Type 2),60,60 kW,RM1.40/kWh,In Use,True
496866,Sri Hartamas Watsons,"22-2 Jalan 25/70A, Desa Sri Hartamas, 50480",3.1623938341397064,101.65028302333826,Jom Charge,CCS (Type 2),100,100 kW,N/A,In Use,True
495441,[Restricted] ZEVA RESIDENCE @ EQUINE SOUTH (Residential Condo),"Zeva Residence, Seri Kembangan, 43300",2.993412,101.676567,Unknown Network,Type 2 (Tethered Connector) ,22,22 kW,N/A,In Use,True
495382,Petronas Bayan Baru,"1G Jalan Sungai Nibong, Bayan Baru, 11900, Pulau Pinang",5.328940281172791,100.29450208046205,Gentari Go (MY),Unknown,180,180 kW,RM1.60/kWh,In Use,True
495315,[Public] Proton e-MAS Kulim - GB Auto (Car Showroom),"133, Lorong Kenanga 1, Taman Desa Impian , 09000 Kulim , Kedah, Kulim",5.353431,100.533417,Unknown Network,CCS (Type 2),25,25 kW,N/A,In Use,True
495314,[Restricted] SETAPAK GREEN CONDOMINIUM (Residential Condo),"3 Jln Semarak Api, Off,, Kuala Lumpur, 53000",3.194831,101.706093,Unknown Network,Type 2 (Tethered Connector) ,11,11 kW,N/A,In Use,True
494739,Bandar Bukit Raja Town Park,"Jalan Kuda Kepang, Jalan Klang Sentral 9/KU5,, Klang, 41050, selangor",3.0961095182110956,101.42606090800106,DC Handal,CCS (Type 2),60,60 kW,0.90-1.20/kW,In Use,True
494738,Bandar Bukit Raja Town Park,"Bandar Bukit Raja Wetland Townpark, Jalan Kuda Kepang, Jalan Klang Sentral 9/KU5, Bandar Bukit Raja, 40150 Klang, Selangor, Malaysia  , Klang, 41050, selangor",3.0960616927475257,101.42546256819128,DC Handal,CCS (Type 2),60,60 kW,1.20/kW,In Use,True
494733,EI Charge @ McDonalds Pekan,"Sebahagian Tanah Taman Tasik Sultan Abu Bakar, Pekan Bandar DiRaja, 26600 Pekan, Pahang, Pekan, 26600, Pahang",3.5382994322586114,103.38573249755677,EI Charge (MY),CCS (Type 2),60,60 kW,N/A,In Use,True
494569,[Restricted] SETIA SKY VILLE (Residential Condo),"Setia Sky Ville, Jelutong, 11600",5.400152,100.310295,Unknown Network,Type 2 (Tethered Connector) ,22,22 kW,N/A,In Use,True
493787,Belum Rainforest Resort,"Timur-Barat Hwy, Pulau Banding, Gerik, 33300 , Perak",5.543805818558809,101.34066261447015,(Unknown Operator),Unknown,22,22 kW,N/A,In Use,True
493600,[Restricted] LEGEND HEIGHTS @ SRI SEGAMBUT (Residential Condo),"Legend Heights @ Sri Segambut, Kuala Lumpur, 52000",3.197656,101.656349,Unknown Network,Type 2 (Tethered Connector) ,22,22 kW,N/A,In Use,True
493537,Perpustakaan Laman Hikmah,"Perpustakaan Laman Hikmah, Durian Tunggal, 76100, Melaka",2.3088433,102.3203724,(Unknown Operator),Unknown,60,60 kW,RM1.00/kWh,In Use,True
493348,[Restricted] CASA EMBUN @ CYBERSOUTH (Residential Condo),"Casa Embun @ Cybersouth, Dengkil, 43800",2.872276,101.662598,Unknown Network,Type 2 (Tethered Connector) ,11,11 kW,N/A,In Use,True
493035,[Restricted] SOUTH BROOKS RESIDENCE (Residential Condo),"South Brooks, Desa ParkCity, Kuala Lumpur, 52200",3.182748,101.626724,Unknown Network,Type 2 (Tethered Connector) ,7,7 kW,N/A,In Use,True
492907,Gentari Petronas Pekan Lukut (180kW DC),"Taman Kota Lukut, Port Dickson, 71010, Negeri Sembilan",2.5652771444597846,101.8242795401676,Gentari Go (MY),Unknown,180,180 kW,RM1.70/Kw,In Use,True
492627,[Public] MENARA TOP GLOVE (Office Building),"6, Persiaran Setia Dagang, 40170 Shah Alam, Selangor, SHAH ALAM, 40170",3.108168,101.458496,Unknown Network,CCS (Type 2),60,60 kW,N/A,In Use,True
492510,Surau Pahang Skills,"Jalan Industri Semambu 9, 25350, Pahang",3.8550069,103.3199475,EI Charge (MY),CCS (Type 2),60,60 kW,RM 1.00/kWh,In Use,True
492334,DoubleTree by Hilton Damai Laut,"Jalan Damai Laut, , Lumut, 32200, Perak",4.259395410821369,100.59169832276564,Jom Charge,Unknown,7,7 kW,N/A,In Use,True
492333,Sunway Carnival Supercharger,"Sunway Carnival Mall, 3086, Jalan Todak,, Seberang Jaya, , 13700 , Pulau Pinang",5.3991376692456186,100.39863998591181,Tesla (Tesla-only charging),CCS (Type 2),250,250 kW,N/A,In Use,True
490109,[Restricted] THE BREZZA CONDOMINIUM BLOCK B (Residential Condo),"The Brezza Condominium, Tanjung Tokong, 10470",5.453625,100.307335,Unknown Network,CCS (Type 2),40,40 kW,N/A,In Use,True
490108,[Restricted] TRINITY LEMANJA (Residential Condo),"Jalan Kuang Bertam 6, Taman Kepong, Kepong, 51200",3.209554,101.638931,Unknown Network,Type 2 (Tethered Connector) ,22,22 kW,N/A,In Use,True
489654,[Restricted] TREEO CONDOMINIUM BY HUNZA (Residential Condo),"Tree O, Jln Sungai Ara 10,, Bayan Lepas, 11900",5.325198,100.261459,Unknown Network,Type 2 (Tethered Connector) ,11,11 kW,N/A,In Use,True
489110,[Restricted] LAMAN GLASIER (Residential Condo),"Laman Glasier (Glacio) Country Garden Central Park Serviced Apartment, Johor Bahru, 81200",1.512668,103.717751,Unknown Network,Type 2 (Tethered Connector) ,11,11 kW,N/A,In Use,True
488675,[Restricted] EQUINE RESIDENCE (Residential Condo),"Equine Residence, Seri Kembangan, 43300",2.995656,101.676003,Unknown Network,Type 2 (Tethered Connector) ,22,22 kW,N/A,In Use,True
487950,TF Value-Mart Raub,"Kampung Sempalit, Raub, 27600, Pahang",3.804422883866792,101.87055170024541,chargEV,Unknown,60,60 kW,1.40,In Use,True
487507,[Restricted] EAST LAKE RESIDENCE (Residential Condo),"East Lake Residence, Seri Kembangan, 43300",3.032942,101.707298,Unknown Network,Type 2 (Tethered Connector) ,11,11 kW,N/A,In Use,True
486513,[Restricted] SUNWAY BELFIELD TOWER A (Residential Condo),"Residensi Sunway Belfield, Kuala Lumpur, 50460",3.136339,101.696739,Unknown Network,Type 2 (Tethered Connector) ,22,22 kW,N/A,In Use,True
486452,[Public] SUNWAY MEDICAL CENTRE IPOH (Medical),"Sunway Medical Centre Ipoh, Ipoh, 31150",4.631488,101.154877,Unknown Network,Type 2 (Tethered Connector) ,22,22 kW,N/A,In Use,True
486081,[Restricted] SUNWAY ARTESSA RESIDENCE (Residential Condo),"Sunway Artessa Residence, Kuala Lumpur, 53300",3.195273,101.736145,Unknown Network,Type 2 (Tethered Connector) ,11,11 kW,N/A,In Use,True
485140,[Restricted] SUNWAY ARTESSA RESIDENCES (Residential Condo),"Sunway Artessa Residence, Kuala Lumpur, 53300",3.195318,101.737114,Unknown Network,Type 2 (Tethered Connector) ,11,11 kW,N/A,In Use,True
484851,[Restricted] KELISA RESIDENCE (Residential Condo),"Kelisa Residensi, Perai, 13700",5.393419,100.410675,Unknown Network,Type 2 (Tethered Connector) ,22,22 kW,N/A,In Use,True
484850,[Restricted] FORTUNE CENTRA RESIDENCES (Residential Condo),"Fortune Centra Residence, Kuala Lumpur, 52100",3.215377,101.643318,Unknown Network,Type 2 (Tethered Connector) ,22,22 kW,N/A,In Use,True
484849,[Restricted] SUNWAY AVILA RESIDENCES (Residential Condo),"Sunway Avila Residences, Kuala Lumpur, 53300",3.19244,101.735916,Unknown Network,Type 2 (Tethered Connector) ,11,11 kW,N/A,Offline,False
484848,[Restricted] TIFFANI KIARA (Residential Condo),"Mont Kiara, 50480 Kuala Lumpur, Federal Territory of Kuala Lumpur, Mont Kiara, 50480",3.173578,101.658791,Unknown Network,Type 2 (Tethered Connector) ,22,22 kW,N/A,Offline,False
484847,[Public] SUNWAY 163 MALL (Shopping Mall),"8, Jalan Kiara, Mont Kiara, Kuala Lumpur",3.166467,101.652313,Unknown Network,CCS (Type 2),80,80 kW,N/A,In Use,True
484846,[Restricted] MUTIARA UPPER EAST @ DESA PANDAN (BLOCK A) (Residential Condo),"39, Jln 1/76, Desa Pandan, Desa Pandan, 55100",3.15241,101.738159,Unknown Network,Type 2 (Tethered Connector) ,22,22 kW,N/A,In Use,True
484845,[Restricted] MUTIARA UPPER EAST @ DESA PANDAN (BLOCK C1) (Residential Condo),"Mutiara Upper East @Desa Pandan, Kuala Lumpur, 55100",3.151889,101.738106,Unknown Network,Type 2 (Tethered Connector) ,11,11 kW,N/A,In Use,True
484844,[Restricted] H2O RESIDENCES (BLOCK A & B) (Residential Condo),"H20 Residences, Petaling Jaya, 47301",3.115636,101.577316,Unknown Network,Type 2 (Tethered Connector) ,11,11 kW,N/A,In Use,True
484843,[Restricted] TRIA SEPUTEH RESIDENCES (Residential Condo),"Tria Seputeh Residences, Kuala Lumpur, 58000",3.108319,101.676819,Unknown Network,Type 2 (Tethered Connector) ,22,22 kW,N/A,In Use,True
484842,[Restricted] SUMMERVILLA CONDOMINIUM (Residential Condo),"Spring Summer Villa Condominium, Petaling Jaya, 47500",3.078489,101.601456,Unknown Network,Type 2 (Tethered Connector) ,22,22 kW,N/A,In Use,True
484841,[Restricted] ALIRA RESIDENCE (Residential Condo),"Alira Residences, Metropark Subang Jaya, Subang Jaya, 47500",3.073056,101.567184,Unknown Network,Type 2 (Tethered Connector) ,22,22 kW,N/A,In Use,True
484840,[Public] SAVILLE @ CHERAS (Residential Condo),"Saville @ Cheras Service Apartment, Cheras, 43200",3.0623,101.773537,Unknown Network,Type 2 (Tethered Connector) ,22,22 kW,N/A,In Use,True
484839,[Restricted] NAUTICA LAKE SUITES CONDOMINIUM (Residential Condo),"Nautica Lake Suites @ Sunway South Quay, Subang Jaya, 47500",3.061109,101.608246,Unknown Network,Type 2 (Tethered Connector) ,22,22 kW,N/A,In Use,True
484838,[Restricted] THE PARK 2 RESIDENCE (Residential Condo),"The Park 2 Residence, Bukit Jalil City, Kuala Lumpur, 57000",3.050728,101.6735,Unknown Network,Type 2 (Tethered Connector) ,11,11 kW,N/A,In Use,True
484837,[Public] SK1 RESIDENSI (Residential Condo),"SK One Residence, Seri Kembangan, 43300",3.014245,101.699341,Unknown Network,Type 2 (Tethered Connector) ,22,22 kW,N/A,In Use,True
484836,[Restricted] KSL RESIDENCES @ DAYA (Residential Condo),"KSL Residences @ Daya, Johor Bahru, 81100",1.536105,103.761513,Unknown Network,CCS (Type 2),50,50 kW,N/A,In Use,True
484835,[Public] EMPORIUM KUCHING (Public Area),"Emporium Kuching, Kuching, 93350",1.516199,110.352417,Unknown Network,Type 2 (Tethered Connector) ,11,11 kW,N/A,In Use,True
480608,Lebuhraya Pantai Timur,"Lebuhraya Pantai Timur, 24000, Terengganu",4.01882115595977,103.31362243812055,Gentari Go (MY),CCS (Type 2),200,200 kW,RM1.8/kwh,In Use,True
480555,"TNB Electron - Wisma TNB Bagan Serai, Perak","Jalan Taiping Batu 10, 7364, 1, Taman Seri Serai, Bagan Serai, 34300, Perak",5.0058708,100.5426283,TNB Electron (MY),CCS (Type 2),240,240 kW,RM 1.50 per kWh,In Use,True
480554,TNB Electron - Wisma TNB Kulim Kedah,"Jalan Putra, Bandar Putra, Kulim, 09000, Kedah",5.368791162050556,100.54498917022215,TNB Electron (MY),CCS (Type 2),240,240 kW,RM 1.50 per kWh,In Use,True
480553,"TNB Electron - Wisma TNB Kangar, Perlis","Bulatan Jubli Emas, Kampung Guru Peringkat Tiga, Kangar, 01000, Perlis",6.4447205567925465,100.20557724858418,TNB Electron (MY),CCS (Type 2),240,240 kW,RM 1.50 per kWh,In Use,True
480475,Proton eMas Ipoh,"59, Jalan Raja Permaisuri Bainun,,  Ipoh, 30250, Perak",4.585185407698972,101.08500489946096,Jom Charge,CCS (Type 2),60,60 kW,1.20/kWh,In Use,True
480474,KFC Tanjung Rambutan,"Susunan Tanjong 1, 31250, Perak",4.665534764333742,101.15908369020735,TNB Electron (MY),CCS (Type 2),200,200 kW,RM1.50/kWh,In Use,True
480473,Starbuck DT Tambun,"Jalan Darul Johan, 31400, Perak",4.620838829272685,101.14815386764542,chargEV,CCS (Type 2),30,30 kW,RM1.20/kWh,In Use,True
480472,Persiaran Lagun Sunway,"Persiaran Lagun Sunway, 31150, Perak",4.625357713499184,101.15529228097921,chargEV,Type 2 (Tethered Connector) ,6.4,6.4 kW,RM1.50/20mins,In Use,True
480471,Jalan Niaga Simee 1,"Jalan Niaga Simee 1, 31400, Perak",4.618175320812313,101.11610842318112,Gentari Go (MY),CCS (Type 2),120,120 kW,RM1.60/kWh,In Use,True
480470,Jalan Tokong,"Jalan Tokong, 31650, Perak",4.58490743257353,101.08493553806011,Jom Charge,CCS (Type 2),60,60 kW,RM1.20/kWh,In Use,True
480140,"TNB Electron - Yard TNB PRCC Bayan Lepas, Penang","Lebuhraya Kampung Jawa, Bayan Lepas, 11900, Penang",5.316405322200055,100.2957099672758,TNB Electron (MY),CCS (Type 2),200,200 kW,RM 1.50 per kWh,In Use,True
479814,RNR Mid Layar,"Engkeranji, Betong, 95600, Sarawak",1.4637625,111.5667969,Jom Charge,CCS (Type 2),30,30 kW,RM 0.80/min,In Use,True
479684,Shell LPT 1 RNR Temerloh KTN Bound,"KM 129.5 EAST BOUND, TEMERLOH, 28020, Pahang",3.512228012084961,102.44186401367188,Shell Recharge (Malaysia),CCS (Type 2),180,180 kW,Please refer to Shell Recharge App for pricing,In Use,True
479683,Shell LPT 1 RNR Temerloh KL Bound,"LEBUH RAYA PANTAI TIMUR FASA 1, TEMERLOH, 28020, Pahang",3.511526107788086,102.43900299072266,Shell Recharge (Malaysia),CCS (Type 2),180,180 kW,Please refer to Shell Recharge App for pricing,In Use,True
479682,Pavilion Damansara Heights,"3, JALAN DAMANLELA, Kuala Lumpur, 50490, Kuala Lumpur",3.1482861042022705,101.66291046142578,Shell Recharge (Malaysia),Type 2 (Tethered Connector) ,22,22 kW,Please refer to Shell Recharge App for pricing,In Use,True
479681,Miri Multistorey Parking,"MIRI TIMES SQUARE, JALAN BENDAHARA, MARINA PARKCITY, Miri, 98000, Sarawak",4.394287109375,113.9854507446289,Shell Recharge (Malaysia),Type 2 (Tethered Connector) ,11,11 kW,Please refer to Shell Recharge App for pricing,In Use,True
479680,Citta Mall,"1, JALAN PJU 1A/48,, Petaling Jaya, 47301, Selangor",3.112056016921997,101.57936096191406,Shell Recharge (Malaysia),Type 2 (Tethered Connector) ,11,11 kW,Please refer to Shell Recharge App for pricing,In Use,True
479679,Miri Times Square,"JALAN BENDAHARA, MARINA PARKCITY, Miri, 98000, Sarawak",4.394287109375,113.9854507446289,Shell Recharge (Malaysia),Type 2 (Tethered Connector) ,11,11 kW,Please refer to Shell Recharge App for pricing,In Use,True
479678,IOI Mall Puchong,"PILLAR 9, BASEMENT 1, Puchong, 47170, Selangor",3.043111562728882,101.61827087402344,Shell Recharge (Malaysia),Type 2 (Tethered Connector) ,11,11 kW,Please refer to Shell Recharge App for pricing,In Use,True
479677,Setiawalk Mall,"BLOCK J,BASEMENT 1, Puchong, 47160, Selangor",3.030250072479248,101.61569213867188,Shell Recharge (Malaysia),Type 2 (Tethered Connector) ,11,11 kW,Please refer to Shell Recharge App for pricing,In Use,True
479676,Shell RNR Skudai JB Bound,"SKUDAI R&R, NSE SOUTHBOUND (KM 16.5), Senai, 81400, Johor",1.5899778604507446,103.63600158691406,Shell Recharge (Malaysia),CCS (Type 2),120,120 kW,Please refer to Shell Recharge App for pricing,In Use,True
479675,Shell RTC,"RURAL TRANSFORMATION CENTRE SIMPANG, Simpang Pulai, 31500, Perak",4.497345924377441,101.15523529052734,Shell Recharge (Malaysia),CCS (Type 2),180,180 kW,Please refer to Shell Recharge App for pricing,In Use,True
