month,rank,make,model,units,share_pct
2023-09,1,Toyota,Corolla Cross,667,36.87
2023-09,2,Honda,HR-V,381,21.06
2023-09,3,Honda,City,190,10.5
2023-09,4,Honda,Civic,129,7.13
2023-09,5,Mercedes Benz,C-Class,94,5.2
2023-09,6,Mercedes Benz,GLC,88,4.86
2023-09,7,Volvo,XC60,77,4.26
2023-09,8,Volvo,XC90,59,3.26
2023-09,9,Volvo,XC40,45,2.49
2023-09,10,Mercedes Benz,A-Class,27,1.49
2023-09,11,Mercedes Benz,GLE,17,0.94
2023-09,12,Mercedes Benz,S-Class,16,0.88
2023-09,13,Lexus,RX,12,0.66
2023-09,14,Volvo,V60,3,0.17
2023-09,15,BMW,7 Series,2,0.11
2023-09,16,Mercedes Benz,E-Class,1,0.06
2023-09,17,Mercedes-Maybach,GLS,1,0.06
2023-10,1,Toyota,Corolla Cross,773,34.71
2023-10,2,Honda,HR-V,457,20.52
2023-10,3,Honda,City,292,13.11
2023-10,4,Mercedes Benz,GLC,254,11.41
2023-10,5,Honda,Civic,121,5.43
2023-10,6,Mercedes Benz,C-Class,101,4.54
2023-10,7,Volvo,XC40,36,1.62
2023-10,8,Volvo,XC90,33,1.48
2023-10,9,Volvo,XC60,31,1.39
2023-10,10,Mercedes Benz,A-Class,28,1.26
2023-10,11,Lexus,RX,23,1.03
2023-10,12,BMW,7 Series,19,0.85
2023-10,13,Mercedes Benz,S-Class,19,0.85
2023-10,14,Toyota,Innova Zenix,17,0.76
2023-10,15,Mercedes Benz,GLE,16,0.72
2023-10,16,Volvo,V60,3,0.13
2023-10,17,Toyota,Vios,2,0.09
2023-10,18,Lexus,IS,1,0.04
2023-10,19,Nissan,Note,1,0.04
2023-11,1,Toyota,Corolla Cross,904,34.16
2023-11,2,Honda,HR-V,648,24.49
2023-11,3,Honda,City,270,10.2
2023-11,4,Mercedes Benz,GLC,255,9.64
2023-11,5,Mercedes Benz,C-Class,100,3.78
2023-11,6,Honda,Civic,84,3.17
2023-11,7,Volvo,XC60,65,2.46
2023-11,8,Toyota,Innova Zenix,61,2.31
2023-11,9,BMW,7 Series,55,2.08
2023-11,10,Lexus,RX,51,1.93
2023-11,11,Volvo,XC40,44,1.66
2023-11,12,Mercedes Benz,S-Class,35,1.32
2023-11,13,Volvo,XC90,31,1.17
2023-11,14,Mercedes Benz,GLE,19,0.72
2023-11,15,Mercedes Benz,A-Class,16,0.6
2023-11,16,Volvo,V60,6,0.23
2023-11,17,Mercedes Benz,CLS,1,0.04
2023-11,18,Toyota,Vios,1,0.04
2023-12,1,Toyota,Corolla Cross,1140,38.89
2023-12,2,Honda,HR-V,706,24.09
2023-12,3,Honda,City,287,9.79
2023-12,4,Mercedes Benz,GLC,226,7.71
2023-12,5,Mercedes Benz,C-Class,107,3.65
2023-12,6,Honda,Civic,99,3.38
2023-12,7,Volvo,XC60,61,2.08
2023-12,8,Lexus,RX,60,2.05
2023-12,9,Volvo,XC90,56,1.91
2023-12,10,BMW,7 Series,51,1.74
2023-12,11,Volvo,XC40,43,1.47
2023-12,12,Mercedes Benz,S-Class,31,1.06
2023-12,13,Toyota,Innova Zenix,28,0.96
2023-12,14,Mercedes Benz,A-Class,17,0.58
2023-12,15,Mercedes Benz,GLE,8,0.27
2023-12,16,Chery,Omoda 5,3,0.1
2023-12,17,Volvo,V60,3,0.1
2023-12,18,Mercedes-Maybach,S-Class,2,0.07
2023-12,19,Mercedes Benz,GLS,1,0.03
2023-12,20,Porsche,Panamera,1,0.03
2023-12,21,Toyota,Crown,1,0.03
2024-01,1,Toyota,Corolla Cross,533,25.37
2024-01,2,Honda,HR-V,523,24.89
2024-01,3,Honda,City,208,9.9
2024-01,4,Mercedes Benz,GLC,193,9.19
2024-01,5,Honda,CR-V,179,8.52
2024-01,6,Mercedes Benz,C-Class,166,7.9
2024-01,7,Honda,Civic,64,3.05
2024-01,8,Volvo,XC60,50,2.38
2024-01,9,Mercedes Benz,A-Class,33,1.57
2024-01,10,Volvo,XC40,33,1.57
2024-01,11,Volvo,XC90,32,1.52
2024-01,12,Lexus,RX,24,1.14
2024-01,13,BMW,7 Series,21,1.0
2024-01,14,Mercedes Benz,S-Class,20,0.95
2024-01,15,Mercedes Benz,GLE,12,0.57
2024-01,16,Volvo,V60,4,0.19
2024-01,17,Toyota,Innova Zenix,3,0.14
2024-01,18,Porsche,Panamera,1,0.05
2024-01,19,Toyota,Crown,1,0.05
2024-01,20,Toyota,Vellfire,1,0.05
2024-02,1,Honda,HR-V,454,24.81
2024-02,2,Toyota,Corolla Cross,446,24.37
2024-02,3,Mercedes Benz,GLC,198,10.82
2024-02,4,Mercedes Benz,C-Class,183,10.0
2024-02,5,Honda,City,133,7.27
2024-02,6,Honda,CR-V,109,5.96
2024-02,7,Honda,Civic,60,3.28
2024-02,8,Lexus,RX,53,2.9
2024-02,9,Volvo,XC60,53,2.9
2024-02,10,Volvo,XC90,37,2.02
2024-02,11,Volvo,XC40,30,1.64
2024-02,12,BMW,7 Series,27,1.48
2024-02,13,Mercedes Benz,A-Class,20,1.09
2024-02,14,Mercedes Benz,S-Class,9,0.49
2024-02,15,Mercedes Benz,GLE,8,0.44
2024-02,16,Volvo,V60,4,0.22
2024-02,17,Mercedes Benz,E-Class,2,0.11
2024-02,18,Land Rover,Range Rover Sport,1,0.05
2024-02,19,Toyota,Innova Zenix,1,0.05
2024-02,20,Toyota,Vios,1,0.05
2024-02,21,Toyota,Yaris,1,0.05
2024-03,1,Honda,HR-V,518,22.91
2024-03,2,Toyota,Corolla Cross,495,21.89
2024-03,3,Mercedes Benz,GLC,217,9.6
2024-03,4,Honda,City,211,9.33
2024-03,5,Honda,CR-V,176,7.78
2024-03,6,Mercedes Benz,C-Class,168,7.43
2024-03,7,Lexus,RX,101,4.47
2024-03,8,Honda,Civic,83,3.67
2024-03,9,Volvo,XC60,73,3.23
2024-03,10,Volvo,XC40,48,2.12
2024-03,11,Volvo,XC90,38,1.68
2024-03,12,BMW,7 Series,37,1.64
2024-03,13,Mercedes Benz,A-Class,32,1.42
2024-03,14,Mercedes Benz,GLE,17,0.75
2024-03,15,Toyota,Innova Zenix,15,0.66
2024-03,16,Mercedes Benz,S-Class,13,0.57
2024-03,17,Volvo,V60,10,0.44
2024-03,18,Audi,RS6,1,0.04
2024-03,19,Honda,Shuttle,1,0.04
2024-03,20,Mercedes Benz,E-Class,1,0.04
2024-03,21,Mercedes Benz,GLS,1,0.04
2024-03,22,Mercedes-Maybach,S-Class,1,0.04
2024-03,23,Toyota,Harrier,1,0.04
2024-03,24,Toyota,RAV4,1,0.04
2024-03,25,Toyota,Vios,1,0.04
2024-03,26,Volvo,S90,1,0.04
2024-04,1,Toyota,Corolla Cross,519,29.47
2024-04,2,Honda,HR-V,286,16.24
2024-04,3,Mercedes Benz,C-Class,207,11.75
2024-04,4,Honda,City,186,10.56
2024-04,5,Mercedes Benz,GLC,144,8.18
2024-04,6,Honda,Civic,73,4.15
2024-04,7,Mercedes Benz,A-Class,69,3.92
2024-04,8,Honda,CR-V,56,3.18
2024-04,9,Lexus,RX,54,3.07
2024-04,10,Volvo,XC60,41,2.33
2024-04,11,Volvo,XC40,30,1.7
2024-04,12,BMW,7 Series,29,1.65
2024-04,13,Volvo,XC90,18,1.02
2024-04,14,Toyota,Innova Zenix,15,0.85
