id,brand,model,variant,type,fuel_class,units,rank,share_pct,registered_basis,popularity_rating,paultan_keys,registered_note
proton-emas-5,Proton,eMas 5,Premium,ev,ev,18050,1,13.77,paultan_exact,8,['EV|Proton|e.MAS 5'],
byd-atto-3,BYD,Atto 3,Standard Range,ev,ev,13255,2,10.11,paultan_exact,7,['EV|BYD|Atto 3'],
byd-seal,BYD,Seal,Premium AWD,ev,ev,4203,7,3.21,paultan_exact,6,['EV|BYD|Seal'],
tesla-model-3,Tesla,Model 3,Rear-Wheel Drive,ev,ev,9337,4,7.12,paultan_exact,7,['EV|Tesla|Model 3'],
tesla-model-y,Tesla,Model Y,Rear-Wheel Drive,ev,ev,8945,5,6.82,paultan_exact,7,['EV|Tesla|Model Y'],
xpeng-g6,XPeng,G6,Standard Range,ev,ev,1895,17,1.45,paultan_exact,4,['EV|Xpeng|G6'],
volvo-ex30,Volvo,EX30,Ultra Twin,ev,ev,585,38,0.45,paultan_exact,3,['EV|Volvo|EX30'],
mg4,MG,4,Lux Extended Range,ev,ev,1283,24,0.98,paultan_exact,4,['EV|MG|MG4'],
gac-aion-y-plus,Aion,Y Plus,Standard,ev,ev,193,60,0.15,paultan_exact,2,"['EV|GAC Aion|Y Plus Premium', 'EV|GAC Aion|Y Plus Standard']",
ora-good-cat,GWM,Ora Good Cat,Pro,ev,ev,1951,16,1.49,paultan_exact,4,['EV|Great Wall|Ora'],
chery-omoda-e5,Chery,Omoda E5,Premium,ev,ev,1300,22,0.99,paultan_exact,4,['EV|Chery|Omoda 5'],
smart-3,smart,#3,Brabus,ev,ev,1408,20,1.07,paultan_family_shared,4,['EV|Smart|Brabus'],Smart Brabus (also covers smart #1)
toyota-corolla-cross-hybrid,Toyota,Corolla Cross,1.8 Hybrid,hybrid,hybrid,32021,1,15.35,paultan_exact,9,['Hybrid|Toyota|Corolla Cross'],
toyota-camry-hybrid,Toyota,Camry,2.5 Hybrid,hybrid,hybrid,10142,7,4.86,paultan_exact,7,['Hybrid|Toyota|Camry'],
honda-hrv-ehev,Honda,HR-V,RS e:HEV,hybrid,hybrid,15437,2,7.4,paultan_exact,7,['Hybrid|Honda|HR-V'],
honda-civic-ehev,Honda,Civic,2.0L e:HEV,hybrid,hybrid,7318,11,3.51,paultan_exact,6,['Hybrid|Honda|Civic'],
wuling-bingo,Wuling,Bingo,,ev,ev,640,37,0.49,paultan_exact,3,['EV|TQ Wuling|Bingo'],
perodua-qv-e,Perodua,QV-E,,ev,ev,412,46,0.31,paultan_exact,2,['EV|Perodua|QV-E'],
seres-3,Seres,3,,ev,ev,1,132,0.0,paultan_exact,1,['EV|Seres|3'],
byd-atto-2,BYD,Atto 2,,ev,ev,2735,12,2.09,paultan_exact,5,['EV|BYD|Atto 2'],
byd-seal-6,BYD,Seal 6,,ev,ev,2605,13,1.99,paultan_exact,5,['EV|BYD|Seal 6'],
dongfeng-box,Dongfeng,Box,,ev,ev,556,41,0.42,paultan_exact,3,"['EV|Dong Feng|Box E3', 'EV|Dong Feng|Box E2']",
proton-emas-7,Proton,eMas 7,,ev,ev,12681,3,9.67,paultan_exact,7,['EV|Proton|e.MAS 7'],
aion-es,Aion,ES,,ev,ev,3,117,0.0,paultan_exact,1,['EV|GAC|Aion ES'],
leapmotor-b10,Leapmotor,B10,,ev,ev,934,31,0.71,paultan_exact,3,['EV|Leapmotor|B10'],
dongfeng-vigo,Dongfeng,Vigo,,ev,ev,22,89,0.02,paultan_exact,1,['EV|Dong Feng|Vigo'],
byd-m6,BYD,M6,,ev,ev,2767,11,2.11,paultan_exact,5,['EV|BYD|M6'],
mg-s5,MG,S5,,ev,ev,693,35,0.53,paultan_exact,3,['EV|MG|S5'],
icaur-03,iCaur,03,,ev,ev,2091,15,1.59,paultan_exact,5,['EV|iCaur|iCaur 03'],
neta-x,Neta,X,,ev,ev,177,61,0.13,paultan_exact,2,['EV|Neta|X'],
leapmotor-c10,Leapmotor,C10,,ev,ev,1107,26,0.84,paultan_exact,4,['EV|Leapmotor|C10'],
icaur-v23,iCaur,V23,,ev,ev,2216,14,1.69,paultan_exact,5,['EV|iCaur|iCaur V23'],
honda-e:n1,Honda,e:N1,,ev,ev,295,49,0.22,paultan_exact,2,['EV|Honda|e:N1'],
zeekr-x,Zeekr,X,,ev,ev,279,52,0.21,paultan_exact,2,['EV|Zeekr|X'],
byd-sealion-7,BYD,Sealion 7,,ev,ev,6551,6,5.0,paultan_exact,6,['EV|BYD|Sealion'],
renault-zoe,Renault,Zoe,,ev,ev,66,73,0.05,paultan_exact,1,['EV|Renault|Zoe'],
nissan-leaf,Nissan,Leaf,,ev,ev,163,62,0.12,paultan_exact,2,['EV|Nissan|Leaf'],
smart-1,smart,#1,,ev,ev,1408,20,1.07,paultan_family_shared,4,['EV|Smart|Brabus'],Smart Brabus (also covers smart #3)
dongfeng-007,Dongfeng,007,,ev,ev,25,88,0.02,paultan_exact,1,['EV|Dong Feng|007'],
zeekr-7x,Zeekr,7X,,ev,ev,3959,8,3.02,paultan_exact,5,['EV|Zeekr|7X'],
suzuki-evitara,Suzuki,eVitara,,ev,ev,0,0,0.0,paultan_no_records,1,[],
mini-electric,MINI,Electric,,ev,ev,1234,25,0.94,paultan_exact,4,['EV|Mini|Cooper'],
toyota-urban-cruiser,Toyota,Urban Cruiser,,ev,ev,5,104,0.0,paultan_exact,1,['EV|Toyota|Urban Cruiser'],
jac-t9-ev,JAC,T9 EV,,ev,ev,5,104,0.0,paultan_exact,1,['EV|JAC|T9'],
smart-5,smart,#5,,ev,ev,0,0,0.0,paultan_no_records,1,[],
mini-aceman,MINI,Aceman,,ev,ev,463,45,0.35,paultan_exact,2,['EV|Mini|Aceman'],
toyota-bz4x,Toyota,bZ4X,,ev,ev,45,80,0.03,paultan_exact,1,['EV|Toyota|bZ4X'],
toyota-hilux,Toyota,Hilux,,ev,ev,13,95,0.01,paultan_exact,1,['EV|Toyota|Hilux'],
maxus-eterron-9,Maxus,eTerron 9,,ev,ev,4,113,0.0,paultan_exact,1,['EV|Maxus|eTerron 9'],
volvo-ec40,Volvo,EC40,,ev,ev,807,33,0.62,paultan_exact,3,"['EV|Volvo|C40', 'EV|Volvo|EC40']",
bmw-ix1,BMW,iX1,,ev,ev,1300,22,0.99,paultan_exact,4,['EV|BMW|iX1'],
bmw-ix1-l,BMW,iX1 L,,ev,ev,1300,22,0.99,paultan_family_shared,4,['EV|BMW|iX1'],BMW iX1 (same family as BMW iX1)
mini-countryman,MINI,Countryman,,ev,ev,570,39,0.43,paultan_exact,3,['EV|Mini|Countryman'],
maxus-mifa-9,Maxus,MIFA 9,,ev,ev,77,70,0.06,paultan_exact,1,['EV|Weststar Maxus|MIFA 9'],
